series_id,game_id,game_number,year,date,split,playoffs,patch,blue_team,red_team,first_pick_side,order,phase,side,action,champion,fearless_unavailable_before_game,fearless_unavailable_count,winner_side,winner_team,acting_side_won,blue_games_before,blue_wins_before,blue_win_rate_before,red_games_before,red_wins_before,red_win_rate_before,blue_season_games_before,blue_season_wins_before,blue_season_win_rate_before,red_season_games_before,red_season_wins_before,red_season_win_rate_before,blue_last5_games,blue_last5_win_rate,red_last5_games,red_last5_win_rate,blue_last10_games,blue_last10_win_rate,red_last10_games,red_last10_win_rate,blue_side_games_before,blue_side_win_rate_before,red_side_games_before,red_side_win_rate_before,blue_patch_games_before,blue_patch_win_rate_before,red_patch_games_before,red_patch_win_rate_before,blue_h2h_games_before,blue_h2h_win_rate_before,red_h2h_games_before,red_h2h_win_rate_before
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183532,1,2025,2025-01-15 08:09:30+00:00,Cup,0,15.01,HANJIN BRION,Kiwoom DRX,BLUE,1,BAN_PHASE_1,BLUE,BAN,Ashe,[],0,BLUE,HANJIN BRION,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183532,1,2025,2025-01-15 08:09:30+00:00,Cup,0,15.01,HANJIN BRION,Kiwoom DRX,BLUE,2,BAN_PHASE_1,RED,BAN,Kalista,[],0,BLUE,HANJIN BRION,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183532,1,2025,2025-01-15 08:09:30+00:00,Cup,0,15.01,HANJIN BRION,Kiwoom DRX,BLUE,3,BAN_PHASE_1,BLUE,BAN,Varus,[],0,BLUE,HANJIN BRION,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183532,1,2025,2025-01-15 08:09:30+00:00,Cup,0,15.01,HANJIN BRION,Kiwoom DRX,BLUE,4,BAN_PHASE_1,RED,BAN,Rumble,[],0,BLUE,HANJIN BRION,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183532,1,2025,2025-01-15 08:09:30+00:00,Cup,0,15.01,HANJIN BRION,Kiwoom DRX,BLUE,5,BAN_PHASE_1,BLUE,BAN,Aurora,[],0,BLUE,HANJIN BRION,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183532,1,2025,2025-01-15 08:09:30+00:00,Cup,0,15.01,HANJIN BRION,Kiwoom DRX,BLUE,6,BAN_PHASE_1,RED,BAN,Azir,[],0,BLUE,HANJIN BRION,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183532,1,2025,2025-01-15 08:09:30+00:00,Cup,0,15.01,HANJIN BRION,Kiwoom DRX,BLUE,7,PICK_PHASE_1,BLUE,PICK,Skarner,[],0,BLUE,HANJIN BRION,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183532,1,2025,2025-01-15 08:09:30+00:00,Cup,0,15.01,HANJIN BRION,Kiwoom DRX,BLUE,8,PICK_PHASE_1,RED,PICK,Viktor,[],0,BLUE,HANJIN BRION,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183532,1,2025,2025-01-15 08:09:30+00:00,Cup,0,15.01,HANJIN BRION,Kiwoom DRX,BLUE,9,PICK_PHASE_1,RED,PICK,Corki,[],0,BLUE,HANJIN BRION,0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2025_20250115_HANJIN_BRION_vs_Kiwoom_DRX_S1,LOLTMNT03_183532,1,2025,2025-01-15 08:09:30+00:00,Cup,0,15.01,HANJIN BRION,Kiwoom DRX,BLUE,10,PICK_PHASE_1,BLUE,PICK,K'Sante,[],0,BLUE,HANJIN BRION,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
